agentId;configNumber;rounds;totalVictories;avgVictories;totalDeaths;avgDeaths;totalTimedout;avgTimedout;totalTimeSpent;avgTimeSpent;levelSeed;options
MarioAI;112;1;0;0.0;1;1.0;0;0.0;28;28.0;1288798574; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1288798574
MarioAI;113;1;0;0.0;1;1.0;0;0.0;36;36.0;417975890; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 417975890
MarioAI;114;1;0;0.0;1;1.0;0;0.0;25;25.0;1004794200; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1004794200
MarioAI;115;1;1;1.0;0;0.0;0;0.0;43;43.0;692554057; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 692554057
MarioAI;116;1;1;1.0;0;0.0;0;0.0;40;40.0;1147047876; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1147047876
MarioAI;117;1;0;0.0;1;1.0;0;0.0;14;14.0;575497265; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 575497265
MarioAI;118;1;1;1.0;0;0.0;0;0.0;39;39.0;1738845215; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1738845215
MarioAI;119;1;0;0.0;1;1.0;0;0.0;29;29.0;120139586; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 120139586
MarioAI;120;1;0;0.0;1;1.0;0;0.0;24;24.0;849950631; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 849950631
MarioAI;121;1;1;1.0;0;0.0;0;0.0;46;46.0;123001001; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 123001001
MarioAI;122;1;0;0.0;1;1.0;0;0.0;11;11.0;1280714395; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1280714395
MarioAI;123;1;0;0.0;1;1.0;0;0.0;31;31.0;243521478; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 243521478
MarioAI;124;1;1;1.0;0;0.0;0;0.0;44;44.0;518747940; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 518747940
MarioAI;125;1;1;1.0;0;0.0;0;0.0;41;41.0;418405800; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 418405800
MarioAI;126;1;0;0.0;1;1.0;0;0.0;36;36.0;1598659286; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1598659286
MarioAI;127;1;0;0.0;1;1.0;0;0.0;13;13.0;2097477418; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 2097477418
MarioAI;128;1;0;0.0;1;1.0;0;0.0;37;37.0;1887574830; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1887574830
MarioAI;129;1;0;0.0;1;1.0;0;0.0;47;47.0;1740728165; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1740728165
MarioAI;130;1;1;1.0;0;0.0;0;0.0;42;42.0;1046740627; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1046740627
MarioAI;131;1;0;0.0;1;1.0;0;0.0;32;32.0;175949162; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 175949162
MarioAI;132;1;1;1.0;0;0.0;0;0.0;42;42.0;1303315085; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1303315085
MarioAI;133;1;1;1.0;0;0.0;0;0.0;40;40.0;1978164795; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1978164795
MarioAI;134;1;1;1.0;0;0.0;0;0.0;38;38.0;1340670300; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1340670300
MarioAI;135;1;0;0.0;1;1.0;0;0.0;22;22.0;1694655670; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1694655670
MarioAI;136;1;0;0.0;1;1.0;0;0.0;19;19.0;1799887891; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1799887891
MarioAI;137;1;0;0.0;1;1.0;0;0.0;46;46.0;1289337549; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1289337549
MarioAI;138;1;0;0.0;1;1.0;0;0.0;30;30.0;716134362; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 716134362
MarioAI;139;1;0;0.0;1;1.0;0;0.0;19;19.0;1414884403; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1414884403
MarioAI;140;1;1;1.0;0;0.0;0;0.0;44;44.0;614175762; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 614175762
MarioAI;141;1;1;1.0;0;0.0;0;0.0;45;45.0;692799600; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 692799600
MarioAI;142;1;1;1.0;0;0.0;0;0.0;52;52.0;1744693352; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1744693352
MarioAI;143;1;1;1.0;0;0.0;0;0.0;44;44.0;998693628; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 998693628
