agentId;configNumber;repetitions;simulationNumber;levelSeed;result;marioMode;timeLeft;timeSpent;marioStatus;distancePassedCells;distancePassedPhys;flowersDevoured;killsByFire;killsByShell;killsByStomp;killsTotal;mushroomsDevoured;greenMushroomsDevoured;coinsGained;hiddenBlocksFound;totalNumberOfCoins;totalNumberOfHiddenBlocks;totalNumberOfMushrooms;totalNumberOfFlowers;totalNumberOfCreatures;levelLength;collisionsWithCreatures
MarioAI;142;1;142;1744693352;VICTORY;SMALL;147;52;1;256;4096;0;3;0;2;5;0;0;0;0;0;0;0;0;43;256;2
MarioAI;143;1;143;998693628;VICTORY;LARGE;156;44;1;256;4096;0;8;0;1;9;0;0;0;0;0;0;0;0;37;256;1
MarioAI;144;1;144;2053432595;VICTORY;LARGE;159;40;1;256;4096;0;3;0;4;7;0;0;0;0;0;0;0;0;42;256;1
MarioAI;145;1;145;880691658;VICTORY;SMALL;155;45;1;256;4096;0;5;0;5;10;0;0;0;0;0;0;0;0;43;256;2
MarioAI;146;1;146;473345249;MARIO_DIED;SMALL;169;30;0;176;2829;0;3;0;1;4;0;0;0;0;0;0;0;0;41;256;3
MarioAI;147;1;147;135247722;MARIO_DIED;SMALL;174;25;0;146;2339;0;0;0;1;1;0;0;0;0;0;0;0;0;39;256;3
MarioAI;148;1;148;2100674493;MARIO_DIED;SMALL;191;8;0;58;931;0;1;0;0;1;0;0;0;0;0;0;0;0;41;256;3
MarioAI;149;1;149;4148151;MARIO_DIED;SMALL;159;41;0;228;3651;0;4;0;2;6;0;0;0;0;0;0;0;0;39;256;3
MarioAI;150;1;150;544038336;MARIO_DIED;SMALL;165;35;0;182;2927;0;2;0;2;4;0;0;0;0;0;0;0;0;43;256;3
MarioAI;151;1;151;1931206293;MARIO_DIED;SMALL;166;33;0;190;3051;0;2;0;2;4;0;0;0;0;0;0;0;0;44;256;3
MarioAI;152;1;152;376503838;VICTORY;LARGE;153;46;1;256;4096;0;4;0;1;5;0;0;0;0;0;0;0;0;35;256;1
MarioAI;153;1;153;1546678891;MARIO_DIED;SMALL;174;25;0;128;2059;0;1;0;1;2;0;0;0;0;0;0;0;0;37;256;3
MarioAI;154;1;154;307575403;VICTORY;SMALL;154;45;1;256;4096;0;8;0;1;9;0;0;0;0;0;0;0;0;42;256;2
MarioAI;155;1;155;557041691;VICTORY;SMALL;157;42;1;256;4096;0;7;0;3;10;0;0;0;0;0;0;0;0;37;256;2
MarioAI;156;1;156;2049250826;MARIO_DIED;SMALL;186;13;0;76;1226;0;1;0;0;1;0;0;0;0;0;0;0;0;40;256;3
MarioAI;157;1;157;764439773;MARIO_DIED;SMALL;165;34;0;198;3168;0;6;0;3;9;0;0;0;0;0;0;0;0;42;256;3
MarioAI;158;1;158;181568199;VICTORY;SMALL;153;46;1;256;4096;0;1;0;3;4;0;0;0;0;0;0;0;0;43;256;2
MarioAI;159;1;159;2111324705;MARIO_DIED;SMALL;179;20;0;106;1705;0;0;0;0;0;0;0;0;0;0;0;0;0;48;256;3
MarioAI;160;1;160;1593229023;VICTORY;LARGE;157;43;1;256;4096;0;8;0;1;9;0;0;0;0;0;0;0;0;41;256;1
MarioAI;161;1;161;1760737888;VICTORY;SMALL;155;44;1;256;4096;0;5;0;0;5;0;0;0;0;0;0;0;0;40;256;2
MarioAI;162;1;162;1798403599;MARIO_DIED;SMALL;172;27;0;143;2302;0;2;0;2;4;0;0;0;0;0;0;0;0;43;256;3
MarioAI;163;1;163;1213163926;MARIO_DIED;SMALL;185;14;0;77;1246;0;1;0;1;2;0;0;0;0;0;0;0;0;41;256;3
MarioAI;164;1;164;1864613483;VICTORY;SMALL;156;43;1;256;4096;0;13;0;0;13;0;0;0;0;0;0;0;0;45;256;2
MarioAI;165;1;165;1032070805;MARIO_DIED;SMALL;175;24;0;158;2538;0;4;0;1;5;0;0;0;0;0;0;0;0;37;256;3
MarioAI;166;1;166;1053682410;VICTORY;FIRE_LARGE;159;40;1;256;4096;0;11;0;1;12;0;0;0;0;0;0;0;0;38;256;0
MarioAI;167;1;167;1158832829;VICTORY;LARGE;153;46;1;256;4096;0;11;0;0;11;0;0;0;0;0;0;0;0;41;256;1
MarioAI;168;1;168;2041647404;MARIO_DIED;SMALL;175;24;0;133;2128;0;4;0;2;6;0;0;0;0;0;0;0;0;38;256;3
MarioAI;169;1;169;633380738;MARIO_DIED;SMALL;166;33;0;208;3334;0;4;0;2;6;0;0;0;0;0;0;0;0;41;256;3
MarioAI;170;1;170;1477694649;MARIO_DIED;SMALL;165;34;0;219;3505;0;2;0;4;6;0;0;0;0;0;0;0;0;38;256;3
MarioAI;171;1;171;1346344427;MARIO_DIED;SMALL;173;26;0;151;2430;0;3;0;1;4;0;0;0;0;0;0;0;0;43;256;3
MarioAI;172;1;172;1817633216;MARIO_DIED;SMALL;187;12;0;60;971;0;1;0;0;1;0;0;0;0;0;0;0;0;40;256;3
MarioAI;173;1;173;137218555;MARIO_DIED;SMALL;185;14;0;65;1047;0;1;0;1;2;0;0;0;0;0;0;0;0;43;256;3
MarioAI;174;1;174;1701988914;MARIO_DIED;SMALL;172;27;0;159;2545;0;0;0;1;1;0;0;0;0;0;0;0;0;40;256;3
MarioAI;175;1;175;158168208;MARIO_DIED;SMALL;163;36;0;231;3707;0;9;0;1;10;0;0;0;0;0;0;0;0;39;256;3
MarioAI;176;1;176;1894777751;MARIO_DIED;SMALL;187;13;0;78;1257;0;1;0;1;2;0;0;0;0;0;0;0;0;39;256;3
MarioAI;177;1;177;503314505;MARIO_DIED;SMALL;178;21;0;100;1602;0;4;0;0;4;0;0;0;0;0;0;0;0;42;256;3
MarioAI;178;1;178;1918886186;MARIO_DIED;SMALL;176;23;0;126;2025;0;1;0;3;4;0;0;0;0;0;0;0;0;39;256;3
MarioAI;179;1;179;745933428;VICTORY;LARGE;161;38;1;256;4096;0;9;0;2;11;0;0;0;0;0;0;0;0;44;256;1
MarioAI;180;1;180;56222952;MARIO_DIED;SMALL;165;34;0;206;3298;0;4;0;1;5;0;0;0;0;0;0;0;0;35;256;3
